"cluster","danceability","energy","tempo","valence","acousticness","instrumentalness","speechiness","liveness","loudness","duration_ms"
"1",0.212415492957746,0.0683921915492958,101.982166197183,0.0919278873239437,0.931892957746479,0.838894328478873,0.0433002816901408,0.110310422535211,-29.7417521126761,209686.177464789
"2",0.718070975918885,0.656433460076046,122.495216730038,0.569688593155893,0.25969757287706,0.0257473304816223,0.297049429657795,0.19415690747782,-6.63838276299113,191714.548795944
"3",0.590748940464178,0.367239788092836,114.585834510595,0.334868213925328,0.659792110998991,0.511024367154389,0.062168213925328,0.150085469223007,-11.9906104944501,180393.502522704
"4",0.659875324675325,0.715242300556586,120.53199554731,0.561687087198516,0.170130097024119,0.0543735274545456,0.066806827458256,0.173835695732839,-6.36421372912802,219382.975510204
