"cluster","afrobeats","ambient","arabic","blues","brazilian","cantopop","classical","country","disco","electronic","folk","funk","gaming","gospel","hip-hop","indian","indie","j-pop","jazz","k-pop","korean","latin","lofi","mandopop","metal","pop","punk","r&b","reggae","rock","soca","soul","turkish","wellness","world"
"1",0,73,4,0,0,0,88,0,0,67,1,0,13,0,0,0,0,0,2,0,0,0,19,0,0,0,0,0,0,0,0,0,0,80,8
"2",15,103,84,10,34,0,0,0,0,54,0,15,19,3,237,9,0,2,6,3,1,111,11,1,1,23,3,9,4,5,2,6,5,0,13
"3",2,58,18,32,8,18,30,6,0,99,43,0,23,1,7,10,0,2,116,0,19,47,266,5,0,56,1,10,1,18,0,15,3,0,77
"4",65,125,102,46,106,9,3,5,9,369,24,13,78,35,151,38,17,19,22,14,14,267,2,8,48,436,70,31,19,322,12,23,63,0,130
